CNPJ_Fundo,Nome_Fundo,Lucro_Contabil,Rendimentos_Declarados,%Distribuido
12.005.956/0001-65,KINEA RENDA IMOBILIARIA FII,1933302.42,84612141.0,4376.56
12.005.956/0001-65,KINEA RENDA IMOBILIARIA FII,763478.04,169224282.0,22164.92
12.358.507/0001-09,EXITUS FIAGRO - IMOBILIÁRIO,0.0,16500000.09,inf
12.516.185/0001-70,VINCI OFFICES FUNDO DE INVESTIMENTO IMOBILIÁRIO,1735428.69,13665916.12,787.47
12.516.185/0001-70,VINCI OFFICES FUNDO DE INVESTIMENTO IMOBILIÁRIO,971605.22,12589557.74,1295.75
12.804.013/0001-00,FUNDO DE INVESTIMENTO IMOBILIÁRIO SC 401,0.0,1597996.24,inf
12.804.013/0001-00,FUNDO DE INVESTIMENTO IMOBILIÁRIO SC 401,0.0,3745992.4,inf
12.804.013/0001-00,FUNDO DE INVESTIMENTO IMOBILIÁRIO SC 401,0.0,1863994.4,inf
12.804.013/0001-00,FUNDO DE INVESTIMENTO IMOBILIÁRIO SC 401,0.0,4311988.64,inf
13.022.994/0001-99,FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII ELDORADO,0.0,22743824.94,inf
13.125.823/0001-95,PSG FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,1786749.79,inf
13.320.290/0001-00,TERRA - FUNDO DE INVESTIMENTO IMOBILIÁRIO,18344441.25,56199999.38,306.36
13.320.290/0001-00,TERRA - FUNDO DE INVESTIMENTO IMOBILIÁRIO,17882774.77,58249998.79,325.73
13.320.290/0001-00,TERRA - FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,1580000.0,inf
13.320.290/0001-00,TERRA - FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,2540000.0,inf
13.371.132/0001-71,JS REAL ESTATE MULTIGESTÃO FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,29074259.2,inf
13.371.132/0001-71,JS REAL ESTATE MULTIGESTÃO FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,58979211.52,inf
13.371.132/0001-71,JS REAL ESTATE MULTIGESTÃO FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,29904952.32,inf
13.371.132/0001-71,JS REAL ESTATE MULTIGESTÃO FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,59809904.64,inf
13.551.286/0001-45,FUNDO DE INVESTIMENTO IMOBILIARIO - FII CENESP,0.0,1091834.91,inf
13.551.286/0001-45,FUNDO DE INVESTIMENTO IMOBILIARIO - FII CENESP,0.0,1933678.95,inf
13.551.286/0001-45,FUNDO DE INVESTIMENTO IMOBILIARIO - FII CENESP,0.0,592117.83,inf
13.551.286/0001-45,FUNDO DE INVESTIMENTO IMOBILIARIO - FII CENESP,0.0,1285817.9,inf
13.703.596/0001-38,TREVISO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,1453.32,462161.38,31800.39
13.873.457/0001-52,FUNDO INVESTIMENTO IMOBILIÁRIO RIO BRAVO RENDA EDUCACIONAL,0.0,9396537.78,inf
14.056.001/0001-62,PERSONALE I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,0.0,575447.08,inf
14.056.001/0001-62,PERSONALE I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,0.0,80158.44,inf
14.056.001/0001-62,PERSONALE I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,0.0,554881.59,inf
14.080.689/0001-16,POLO FII RECEBÍVEIS IMOBILIÁRIOS I,0.0,98270.16,inf
14.080.689/0001-16,POLO FII RECEBÍVEIS IMOBILIÁRIOS I,0.0,56870.75,inf
14.080.689/0001-16,POLO FII RECEBÍVEIS IMOBILIÁRIOS I,0.0,4586009.68,inf
14.080.689/0001-16,POLO FII RECEBÍVEIS IMOBILIÁRIOS I,0.0,5469672.24,inf
14.376.247/0001-11,FII BM BRASCAN LAJES CORPORATIVAS,0.0,2209203.22,inf
14.376.247/0001-11,FII BM BRASCAN LAJES CORPORATIVAS,0.0,4411398.08,inf
14.376.247/0001-11,BM BRASCAN LAJES CORPORATIVAS - FII,0.0,2382210.86,inf
14.376.247/0001-11,BM BRASCAN LAJES CORPORATIVAS - FII,0.0,4238625.3,inf
14.410.722/0001-29,TIVIO RENDA IMOBILIARIA FUNDO DE INVESTIMENTO IMOBILIARIO,2386278.23,96676954.18,4051.37
14.413.342/0001-48,FUNDO DE INVESTIMENTO IMOBILIÁRIO RENDA CORPORATIVA ANGICO,0.0,6861355.14,inf
14.631.148/0001-39,HAZ FUNDOO DE INVESTIMENTO IMOBILIÁRIO,0.0,79047.64,inf
14.631.148/0001-39,HAZ FUNDOO DE INVESTIMENTO IMOBILIÁRIO,0.0,271661.13,inf
14.631.148/0001-39,HAZ FUNDOO DE INVESTIMENTO IMOBILIÁRIO,0.0,212249.54,inf
14.631.148/0001-39,HAZ FUNDOO DE INVESTIMENTO IMOBILIÁRIO,0.0,477194.26,inf
14.721.889/0001-00,FII POLO SHOPPING INDAIATUBA,130916.57,5383348.81,4112.05
14.788.492/0001-36,FUNDO DE INVESTIMENTO IMOBILIARIO - FII PATEO BANDEIRANTES,0.0,14677687.37,inf
14.788.492/0001-36,FUNDO DE INVESTIMENTO IMOBILIARIO - FII PATEO BANDEIRANTES,0.0,28270475.49,inf
14.788.492/0001-36,FUNDO DE INVESTIMENTO IMOBILIARIO - FII PATEO BANDEIRANTES,0.0,13648524.48,inf
14.788.492/0001-36,FUNDO DE INVESTIMENTO IMOBILIARIO - FII PATEO BANDEIRANTES,0.0,27368007.97,inf
14.793.782/0001-78,NEWPORT RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIARIO FII,0.0,222600.0,inf
14.793.782/0001-78,NEWPORT RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIARIO FII,84425.48,422940.0,500.96
14.793.782/0001-78,NEWPORT RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIARIO FII,0.0,155820.0,inf
14.793.782/0001-78,NEWPORT RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIARIO FII,2384.56,348740.0,14624.92
15.006.286/0001-90,FUNDO DE INVESTIMENTO IMOBILIARIO RIO NEGRO,0.0,3050640.0,inf
15.333.306/0001-37,FUNDO DE INVESTIMENTO IMOBILIARIO  FII EDIFICIO GALERIA,0.0,1670380.92,inf
15.333.306/0001-37,FUNDO DE INVESTIMENTO IMOBILIARIO  FII EDIFICIO GALERIA,0.0,2016239.89,inf
