Nome_Fundo,Ativo_Liquidez_Valor_Disponibilidades
CSHG REAL ESTATE - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,5723.63
CSHG REAL ESTATE - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,88087.03
CSHG REAL ESTATE - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,268439.14
FUNDO DE INVESTIMENTO IMOBILIARIO PATRIMONIAL IV,185489.96
FUNDO DE INVESTIMENTO IMOBILIARIO PATRIMONIAL IV,263565.76
FUNDO DE INVESTIMENTO IMOBILIARIO PATRIMONIAL IV,247321.01
FUNDO DE INVESTIMENTO IMOBILIARIO PATRIMONIAL IV,238173.72
FII PROPERTY INVEST,40245.03
FII PROPERTY INVEST,10985.67
FII PROPERTY INVEST,4049.76
FII PROPERTY INVEST,11595.69
SHOPPING WEST PLAZA FUNDO DE INVESTIMENTO IMOBILIARIO,2000.0
SHOPPING WEST PLAZA FUNDO DE INVESTIMENTO IMOBILIARIO,2000.0
SHOPPING WEST PLAZA FUNDO DE INVESTIMENTO IMOBILIARIO,2000.0
SHOPPING WEST PLAZA FUNDO DE INVESTIMENTO IMOBILIARIO,2000.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO SÃO FERNANDO,5670.04
FUNDO DE INVESTIMENTO IMOBILIÁRIO SÃO FERNANDO,5765.79
FUNDO DE INVESTIMENTO IMOBILIÁRIO SÃO FERNANDO,5452.81
FUNDO DE INVESTIMENTO IMOBILIÁRIO SÃO FERNANDO,5769.59
SEQUÓIA III RENDA IMOBILIÁRIA FII,20220.18
SEQUÓIA III RENDA IMOBILIÁRIA FII,21099.25
SEQUÓIA III RENDA IMOBILIÁRIA FII,6393.28
SEQUÓIA III RENDA IMOBILIÁRIA FII,6124.79
FII - BTG PACTUAL CRÉDITO IMOBILIÁRIO,149.79
FII BTG PACTUAL CRÉDITO IMOBILIÁRIO FII,149.79
FII BTG PACTUAL CRÉDITO IMOBILIÁRIO,0.0
FII BTG PACTUAL FUNDO DE CRI,0.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM SECURITIES,0.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM SECURITIES,0.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM SECURITIES,0.0
CIDADE JARDIM CONTINENTAL TOWER FII,30484.03
CIDADE JARDIM CONTINENTAL TOWER FII,56254.21
CIDADE JARDIM CONTINENTAL TOWER FII,2000.0
CIDADE JARDIM CONTINENTAL TOWER FII,22119.43
HEDGE FLORIPA SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO,2000.0
HEDGE FLORIPA SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO,2000.0
HEDGE FLORIPA SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO,2000.0
HEDGE FLORIPA SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO,2000.0
FUNDO DE INVESTIMENTO IMOBILIARIO FII PRIME PORTFOLIO,200.0
FII PRIME PORTFOLIO,222.8
FUNDO DE INVESTIMENTO IMOBILIARIO - FII PRIME PORTFOLIO,200.0
FUNDO DE INVESTIMENTO IMOBILIARIO - FII PRIME PORTFOLIO,200.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO PHORBIS,737897.34
FUNDO DE INVESTIMENTO IMOBILIÁRIO PHORBIS,838293.28
FUNDO DE INVESTIMENTO IMOBILIÁRIO PHORBIS,454312.28
FUNDO DE INVESTIMENTO IMOBILIÁRIO PHORBIS,451773.85
MULTIGESTÃO  FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,79743.41
MULTIGESTÃO  FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,68134.33
MULTIGESTÃO  FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,10890422.89
MULTIGESTÃO  FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,691160.07
DOVEL FII,1228612.33
DOVEL FII,298036.28
DOVEL FII,298036.28
DOVEL FII,183798.52
FII PARQUE DOM PEDRO SHOPPING CENTER,183.5
FII PARQUE DOM PEDRO SHOPPING CENTER,189.5
FII PARQUE DOM PEDRO SHOPPING CENTER,200.0
FII PARQUE DOM PEDRO SHOPPING CENTER,198.5
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA CEDAE,23602.6
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA CEDAE,28669.92
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA CEDAE,27562.35
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA CEDAE,33982.26
FII BTG PACTUAL FUNDO DE FUNDOS,198.5
FII BTG PACTUAL FUNDO DE FUNDOS,198.5
FII BTG PACTUAL FUNDO DE FUNDOS,0.0
FII BTG PACTUAL FUNDO DE FUNDOS,0.0
STARX FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,1734470.89
STARX FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,1762313.38
STARX FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,111090.38
STARX FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,124716.66
CSHG RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INV IMOBILIÁRIO - FII,5000.03
CSHG RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INV IMOBILIÁRIO - FII,5000.0
CSHG RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INV IMOBILIÁRIO - FII,5000.08
CSHG RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INV IMOBILIÁRIO - FII,5000.0
FII - ANHANGUERA EDUCACIONAL,166.84
FII ANHANGUERA EDUCACIONAL,194.0
FII ANHANGUERA EDUCACIONAL,195.5
FII ANHANGUERA EDUCACIONAL,176.5
REAL MINAS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,2900261.9
REAL MINAS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,1037.59
REAL MINAS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,1093.18
CSHG PRIME OFFICES FUNDO DE INVESTIMENTO IMOBILIÁRIO FII,5000.1
CSHG PRIME OFFICES FUNDO DE INVESTIMENTO IMOBILIÁRIO FII,5000.1
CSHG PRIME OFFICES FUNDO DE INVESTIMENTO IMOBILIÁRIO FII,4999.9
CSHG PRIME OFFICES FUNDO DE INVESTIMENTO IMOBILIÁRIO FII,38740.45
JPP FII,500.0
JPP FII,500.0
JPP FII,500.0
JPP FII,500.0
FUNDO DE INVESTIMENTO IMOBILIARIO - FII MAX RETAIL,198.5
FII MAX RETAIL,198.5
FUNDO DE INVESTIMENTO IMOBILIARIO - FII MAX RETAIL,198.5
FUNDO DE INVESTIMENTO IMOBILIARIO - FII MAX RETAIL,191.5
PRESIDENTE VARGAS FUNDO DE INVESTIMENTO IMOBILIÁRIO,2000.0
PRESIDENTE VARGAS FUNDO DE INVESTIMENTO IMOBILIÁRIO,2000.0
PRESIDENTE VARGAS FUNDO DE INVESTIMENTO IMOBILIÁRIO,2000.0
PRESIDENTE VARGAS FUNDO DE INVESTIMENTO IMOBILIÁRIO,2000.0
TAG GR IV FUNDO DE INVESTIMENTO IMOBILIÁRIO,7438.82
TAG GR IV FUNDO DE INVESTIMENTO IMOBILIÁRIO,1000.0
TAG GR IV FUNDO DE INVESTIMENTO IMOBILIÁRIO,1000.0
TAG GR IV FUNDO DE INVESTIMENTO IMOBILIÁRIO,1917.0
MB FUNDO DE INVESTIMENTO IMOBILIÁRIO,2952.96
MB FUNDO DE INVESTIMENTO IMOBILIÁRIO,3348.12
MB FUNDO DE INVESTIMENTO IMOBILIÁRIO,3785.08
MB FUNDO DE INVESTIMENTO IMOBILIÁRIO,2777.41
FII CAMPUS FARIA LIMA,195.5
FII CAMPUS FARIA LIMA,197.0
FUNDO DE INVESTIMENTO IMOBILIARIO - FII CAMPUS FARIA LIMA,195.87
FUNDO DE INVESTIMENTO IMOBILIARIO - FII CAMPUS FARIA LIMA,198.5
FATOR VERITA FII,34668.17
FATOR VERITA FII,40464.38
FATOR VERITA FII,41076.96
FATOR VERITA FII,38915.36
CSHG LOGISTICA - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,880638.48
CSHG LOGISTICA - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,1005143.18
CSHG LOGISTICA - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,1436065.87
CSHG LOGISTICA - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,2541534.15
GENERAL SHOPPING E OUTLETS DO BRASIL FII,5414.65
GENERAL SHOPPING E OUTLETS DO BRASIL FII,5231.69
GENERAL SHOPPING E OUTLETS DO BRASIL FII,5048.65
GENERAL SHOPPING E OUTLETS DO BRASIL FII,4863.85
INCENTIVO FUNDO DE INVESTIMENTO IMOBILIÁRIO-FII,70589.68
INCENTIVO FUNDO DE INVESTIMENTO IMOBILIÁRIO-FII,975.01
INCENTIVO FUNDO DE INVESTIMENTO IMOBILIÁRIO-FII,5661.28
INCENTIVO FUNDO DE INVESTIMENTO IMOBILIÁRIO-FII,4193.67
BTG PACTUAL LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO,0.0
BTG PACTUAL LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO,0.0
