Nome_Fundo,Tipo,Valor
FII FLORIPA SHOPPING,Outras Cotas de FI,4910263.36
FII GOLDEN,Outras Cotas de FI,3513594.25
FII HOSPITAL DA CRIANCA,Outras Cotas de FI,270548.94
FII HOSPITAL NOSSA SENHORA DE LOURDES,Outras Cotas de FI,8096178.25
FII ICON REALTY,Outras Cotas de FI,6663292.99
FII IRIDIUM RECEBIVEIS IMOBILIARIO,CRI,101350891.52
FII IRIDIUM RECEBIVEIS IMOBILIARIO,FII,19059089.72
FII IRIDIUM RECEBIVEIS IMOBILIARIO,LCI,5000000.0
FII IRIDIUM RECEBIVEIS IMOBILIARIO,Outras Cotas de FI,77202712.64
FII IRIDIUM RECEBIVEIS IMOBILIARIOS,CRI,169500818.66
FII IRIDIUM RECEBIVEIS IMOBILIARIOS,FII,35026343.01
FII IRIDIUM RECEBIVEIS IMOBILIARIOS,LCI,10000000.0
FII IRIDIUM RECEBIVEIS IMOBILIARIOS,Outras Cotas de FI,23637819.93
FII MAX RETAIL,Outras Cotas de FI,3171525.06
FII MIKEONE,Outras Cotas de FI,8604006.53
FII MOGNO FUNDO DE FUNDOS,FII,98197651.06
FII MOGNO FUNDO DE FUNDOS,LCI,2003626.94
FII MOGNO FUNDO DE FUNDOS,Outras Cotas de FI,6196326.48
FII NCH BRASIL RECEBIVEIS IMOBILIARIOS,CRI,49980817.74
FII NCH BRASIL RECEBIVEIS IMOBILIARIOS,Outras Cotas de FI,490461.39
FII NOSSA SENHORA DE LOURDES,Outras Cotas de FI,8013385.0
FII PARQUE DOM PEDRO SHOPPING,FII,349885548.04
FII PARQUE DOM PEDRO SHOPPING,Outras Cotas de FI,9637784.07
FII PARQUE DOM PEDRO SHOPPING CENTER,FII,644586160.8
FII PARQUE DOM PEDRO SHOPPING CENTER,Outras Cotas de FI,38143961.24
FII PATEO BANDEIRANTES,Outras Cotas de FI,9646480.3
FII PLUS,Outras Cotas de FI,2594083.22
FII RBR PRIVATE CREDITO IMOBILIARIO,CRI,46076894.02
FII RBR PRIVATE CREDITO IMOBILIARIO,Outras Cotas de FI,13237141.56
FII RBR RENDIMENTO HIGH GRADE,CRI,268608863.17
FII RBR RENDIMENTO HIGH GRADE,FII,11791222.54
FII RBR RENDIMENTO HIGH GRADE,LCI,2006639.95
FII RBR RENDIMENTO HIGH GRADE,Outras Cotas de FI,122191430.9
FII RENDA CORPORATIVA ANGICO - FII,Outras Cotas de FI,95897430.97
FII SABIA,Ações de Sociedades,47759114.23
FII SABIA,Outras Cotas de FI,832975.89
FII SHOPPING PARQUE D. PEDRO,Outras Cotas de FI,15733809.66
FII SHOPPING PARQUE DOM PEDRO,Outras Cotas de FI,45740018.59
FII TORRE NORTE,Outras Cotas de FI,1534406.29
FII TORRE NORTE,Outros Ativos Financeiros,637795.08
FII TRX EDIFÍCIOS CORPORATIVOS,Outras Cotas de FI,25962247.1
FII UBS (BR) RECEBÍVEIS IMOBILIÁRIOS,CRI,213093164.04
FII UBS (BR) RECEBÍVEIS IMOBILIÁRIOS,Outras Cotas de FI,6447531.0
FII VALORA,CRI,35627691.1
FII VALORA,Outras Cotas de FI,3970720.19
FII VBI FL 4440,Outras Cotas de FI,2899604.86
FII VBI FL 4440,Outros Ativos Financeiros,17820.87
FII VOTORANTIM SECURITIES MASTER,CRI,27609170.66
FII VOTORANTIM SECURITIES MASTER,LCI,8738390.37
FII XP MALLS,Ações de Sociedades,67912030.28
FII XP MALLS,FII,3842749.34
FII XP MALLS,Outras Cotas de FI,58909786.93
FIRENZE FUNDO DE INVESTIMENTO IMOBILIÁRIO,Ações de Sociedades,151451878.02
FIRENZE FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII,91165969.75
FL SHOPPINGS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII,109829774.35
FL SHOPPINGS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,FIP,1915262.22
FL SHOPPINGS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,0.02
FLORIPA SHOPPING FUNDO DE INVESTIMENTO IMOBILIARIO - FII,Outras Cotas de FI,4678855.41
FRAM CAPITAL IV FUNDO DE INVESTIMENTO IMOBILIÁRIO,Cotas de Sociedades,860000.0
FRAM CAPITAL IV FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,172869.67
FRAM CAPITAL V FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,1777055.9
FRAM CAPITAL VI FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,5362475.94
FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,FIDC,1686009.0
FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,532360.21
FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO KINEA FII,FII,66732090.88
FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO KINEA FII,LCI,14539842.35
FUNDO DE INV. IMOBILIÁRIO GWI RENDA IMOBILIÁRIA - FII,Outras Cotas de FI,534824.21
FUNDO DE INV. IMOBILIÁRIO GWI RENDA IMOBILIÁRIA - FII,Outros Ativos Financeiros,935542.49
FUNDO DE INV. IMOBILIÁRIO RIO BRAVO RENDA CORPORATIVA,LCI,34912646.75
