Nome_Imovel,Percentual_Vacancia,Percentual_Inadimplencia
AG. SAO JOSE RIO PRETO SP,0.0,0.0
AG. TAMOIOS BH,0.0,0.0
AG. TIJUCA,0.0,0.0
AG. TOLEDO,0.0,0.0
AG. UBERLANDIA,0.0,0.0
AG. VILA CARRAO (SP),0.0,0.0
AG. ZONA SUL,0.0,0.0
AG.BELEM-CENTRO(PA),0.0,0.0
AG.BELO HORIZONTE,0.0,0.0
AL.SANTOS 62,,
ALEGRO - VITÓRIA,,
ALL - CIR - complexo Intermodal de Rondonópolis,0.0,0.0
ALONSO1,0.0,0.0
ALONSO2,0.0,0.0
"ALPHABURLEMARX LOTE A,B e C",,
ALPHABURLEMARX Q0654,,
ALPHACASTELLO,,
ALPHAVILLE,0.0,0.0
ALPHAVILLE BAURU,,
ALPHAVILLE DOM PEDRO,,
ALPHAVILLE DOM PEDRO 3 - L08 QA,,
ALPHAVILLE DOM PEDRO 3 - L14 QJ,,
ALPHAVILLE JUNDIAÍ,,
ALPHAVILLE NOVA ESPLANADA 3 - W310,,
ALPHAVILLE NOVA ESPLANADA 4 - D401,,
ALPHAVILLE NOVA ESPLANADA Nº 09 QUADRA S4,,
ALPHAVILLE NOVA ESPLANADA Nº 12 QUADRA U4,,
ALPHAVILLE NOVA ESPLANADA Nº 17 LOTE AB3,,
ALPHAVILLE NOVA ESPLANADA Nº 4,,
ALPHAVILLE NOVAESPLANADA,,
ALV11400,0.5,0.0
AL_1001B,,
AL_1002B,,
AL_101B,,
AL_103B,,
AL_106BV,,
AL_107B,,
AL_107BV,,
AL_107C,,
AL_108BV,,
AL_109B,,
AL_109BV,,
AL_1101B,,
AL_1102C,,
AL_111BV,,
AL_112BV,,
AL_113BV,,
AL_114BV,,
AL_115BV,,
AL_116BV,,
AL_117BV,,
AL_118BV,,
AL_119BV,,
AL_1201B,,
AL_1202B,,
AL_120BV,,
AL_121BV,,
AL_122BV,,
AL_123BV,,
AL_124BV,,
AL_125BV,,
AL_126BV,,
AL_127BV,,
AL_128BV,,
AL_129BV,,
AL_130BV,,
AL_131BV,,
AL_132BV,,
AL_133BV,,
AL_134BV,,
AL_137BV,,
AL_138BV,,
AL_139BV,,
AL_140BV,,
AL_141BV,,
AL_142BV,,
AL_143BV,,
AL_144BV,,
AL_145BV,,
AL_146BV,,
AL_147BV,,
AL_151BV,,
AL_152BV,,
AL_176BV,,
AL_177BV,,
AL_178BV,,
AL_181BV,,
AL_182BV,,
AL_183BV,,
AL_185BV,,
AL_187BV,,
AL_188BV,,
AL_189BV,,
AL_18BV,,
AL_190BV,,
AL_191BV,,
AL_192BV,,
AL_193BV,,
AL_194BV,,
AL_195BV,,
AL_196BV,,
AL_197BV,,
AL_198BV,,
AL_199BV,,
AL_19BV,,
AL_1C,,
AL_200BV,,
AL_201BV,,
AL_202B,,
AL_202BV,,
AL_203BV,,
AL_204BV,,
AL_205BV,,
AL_206BV,,
AL_207B,,
AL_207BV,,
AL_208BV,,
AL_209BV,,
AL_20BV,,
AL_210BV,,
AL_211BV,,
AL_212BV,,
AL_213BV,,
AL_214BV,,
AL_215BV,,
AL_216BV,,
AL_217BV,,
AL_218BV,,
AL_219BV,,
AL_21BV,,
AL_220BV,,
AL_221BV,,
AL_222BV,,
AL_223BV,,
AL_224BV,,
AL_225BV,,
AL_226BV,,
AL_227BV,,
AL_228BV,,
AL_229BV,,
AL_22BV,,
AL_230BV,,
AL_231BV,,
AL_232BV,,
AL_233BV,,
AL_234BV,,
AL_235BV,,
AL_236BV,,
AL_237BV,,
AL_238BV,,
AL_239BV,,
AL_23BV,,
AL_240BV,,
AL_241BV,,
AL_242BV,,
AL_243BV,,
AL_244BV,,
AL_245BV,,
AL_246BV,,
AL_247BV,,
AL_248BV,,
AL_249BV,,
AL_24BV,,
AL_250BV,,
AL_251BV,,
AL_252BV,,
AL_253BV,,
AL_254BV,,
AL_255BV,,
AL_256BV,,
AL_257BV,,
AL_258BV,,
AL_259BV,,
AL_25BV,,
AL_260BV,,
AL_261BV,,
AL_262BV,,
AL_263BV,,
AL_264BV,,
AL_265BV,,
AL_266BV,,
AL_267BV,,
AL_268BV,,
AL_269BV,,
AL_26BV,,
AL_270BV,,
AL_271BV,,
