CNPJ_Fundo,Data_Referencia_x,Versao_x,Classe,Nome_Imovel,Endereco_x,Area_x,Numero_Unidades_x,Outras_Caracteristicas_Relevantes_x,Percentual_Vacancia,Percentual_Inadimplencia,Percentual_Receitas_FII,Percentual_Locado,Percentual_Vendido,Percentual_Conclusao_Obras_Realizado,Percentual_Conclusao_Obras_Previsto,Custo_Construcao_Realizado,Custo_Construcao_Previsto,Percentual_Imovel_Total_Investido_x,Data_Referencia_y,Versao_y,Endereco_y,Area_y,Numero_Unidades_y,Outras_Caracteristicas_Relevantes_y,Percentual_Imovel_Total_Investido_y,Categoria,Data_Referencia,Versao,Endereco,Data_Alienacao,Area,Numero_Unidades,Outras_Caracteristicas_Relevantes,Percentual_Imovel_Total_Investido,Percentual_Imovel_PL
28.893.734/0001-66,2018-12-31,1,imóveis para venda acabados,MAIG_113,"Rua Mário Aparecido Cortez, n. 120, bairro Vila Santa Josefa, Limeira - SP - Rio Verde Maison D'Art Residencial - Dali Unidade 113 - Vaga de Garagem",12.5,1.0,Nenhuma característica relevante,,,,,,,,,,0.0,2018-12-31,1.0,"Rua Mário Aparecido Cortez, n. 120, bairro Vila Santa Josefa, Limeira - SP - Rio Verde Maison D'Art Residencial - Dali Unidade 113 - Vaga de Garagem",12.5,1.0,Nenhuma característica relevante,0.0,Venda,,,,,,,,,
28.893.734/0001-66,2018-12-31,1,imóveis para venda acabados,EASY1005,"Rua Acre, 820, Nossa Senhora das Graças, Manaus/Amazonas Unipar Easy Residence Unidade 1005 - Apartamento Residencial",50.2,1.0,Nenhuma característica relevante,,,,,,,,,,0.0,2018-12-31,1.0,"Rua Acre, 820, Nossa Senhora das Graças, Manaus/Amazonas Unipar Easy Residence Unidade 1005 - Apartamento Residencial",50.2,1.0,Nenhuma característica relevante,0.0,Venda,,,,,,,,,
28.893.734/0001-66,2018-12-31,1,imóveis para venda acabados,REN_302,"R. dos Passos, 240 - Vila Edmundo, Taubaté  Coli Condomínio Renaissance Unidade 302 - Apartamento Residencial",155.0,1.0,Nenhuma característica relevante,,,,,,,,,,0.0,2018-12-31,1.0,"R. dos Passos, 240 - Vila Edmundo, Taubaté  Coli Condomínio Renaissance Unidade 302 - Apartamento Residencial",155.0,1.0,Nenhuma característica relevante,0.0,Venda,,,,,,,,,
28.893.734/0001-66,2018-12-31,1,imóveis para venda acabados,EASY408,"Rua Acre, 820, Nossa Senhora das Graças, Manaus/Amazonas Unipar Easy Residence Unidade 408 - Apartamento Residencial",96.62,1.0,Nenhuma característica relevante,,,,,,,,,,0.0,2018-12-31,1.0,"Rua Acre, 820, Nossa Senhora das Graças, Manaus/Amazonas Unipar Easy Residence Unidade 408 - Apartamento Residencial",96.62,1.0,Nenhuma característica relevante,0.0,Venda,,,,,,,,,
28.893.734/0001-66,2018-12-31,1,imóveis para venda acabados,TAR_105,"Vila Nossa Senhora das Graças, na cidade de Taubaté, Estado de São Paulo Coli Residencial Tarsila do Amaral Unidade 105 - Apartamento Residencial",49.88,1.0,Nenhuma característica relevante,,,,,,,,,,0.0,2018-12-31,1.0,"Vila Nossa Senhora das Graças, na cidade de Taubaté, Estado de São Paulo Coli Residencial Tarsila do Amaral Unidade 105 - Apartamento Residencial",49.88,1.0,Nenhuma característica relevante,0.0,Venda,,,,,,,,,
28.893.734/0001-66,2018-12-31,1,imóveis para venda acabados,GAI2_704,"Rua Adelina Leal, 358, Centro, Itaboraí - RJ -  Unid 704, 7º Andar -  Bloco - 2 - Vita Felice",58.86,1.0,Nenhuma característica relevante,,,,,,,,,,0.0,2018-12-31,1.0,"Rua Adelina Leal, 358, Centro, Itaboraí - RJ -  Unid 704, 7º Andar -  Bloco - 2 - Vita Felice",58.86,1.0,Nenhuma característica relevante,0.0,Venda,,,,,,,,,
28.893.734/0001-66,2018-12-31,1,imóveis para venda acabados,SELETTOD_158343,"Av. Nossa Senhora do Carmo, 644 - Apto nº 304 - 3 andar -Centro - Betim - MG",75.88,1.0,Nenhuma característica relevante,,,,,,,,,,0.0,2018-06-29,1.0,"Av. Nossa Senhora do Carmo, 644 - Apto nº 304 - 3 andar -Centro - Betim - MG",75.88,1.0,Nenhuma característica relevante,0.01,Venda,,,,,,,,,
28.893.734/0001-66,2018-12-31,1,imóveis para venda acabados,REN_702,"R. dos Passos, 240 - Vila Edmundo, Taubaté  Coli Condomínio Renaissance Unidade 702 - Apartamento Residencial",155.0,1.0,Nenhuma característica relevante,,,,,,,,,,0.0,2018-12-31,1.0,"R. dos Passos, 240 - Vila Edmundo, Taubaté  Coli Condomínio Renaissance Unidade 702 - Apartamento Residencial",155.0,1.0,Nenhuma característica relevante,0.0,Venda,,,,,,,,,
28.893.734/0001-66,2018-12-31,1,imóveis para venda acabados,TAR_605,"Vila Nossa Senhora das Graças, na cidade de Taubaté, Estado de São Paulo Coli Residencial Tarsila do Amaral Unidade 605 - Apartamento Residencial",49.88,1.0,Nenhuma característica relevante,,,,,,,,,,0.0,2018-12-31,1.0,"Vila Nossa Senhora das Graças, na cidade de Taubaté, Estado de São Paulo Coli Residencial Tarsila do Amaral Unidade 605 - Apartamento Residencial",49.88,1.0,Nenhuma característica relevante,0.0,Venda,,,,,,,,,
28.893.734/0001-66,2018-12-31,1,imóveis para venda acabados,ALLEGRO_86432,"Rua Capitão Paulino Freire, 300, 18º Andar, Apto 181, Centro, Mogi das Cruzes - SP",70.76,1.0,Nenhuma característica relevante.,,,,,,,,,,0.0,2018-03-29,1.0,"Rua Capitão Paulino Freire, 300, 18º Andar, Apto 181, Centro, Mogi das Cruzes - SP",70.76,1.0,Nenhuma característica relevante.,0.0,Venda,,,,,,,,,
